id,Item,Parent,Description,WBS,Team,Manager,Product Owner,Service/SW/HW,Package List,LDM-230,LDM-148,LDM-129
DM,Data Management,,Data Management System,1.02C,Multiple,William O Mullane,Leanne Guy,,,,,
DMSRV,DM Services,DM,Data Management Services,,Multiple,William O Mullane,Leanne Guy,Service,,,,
PRSRV,Prompt Services,DMSRV,Prompt Services,Multiple,NCSA,Margaret Gelman,Michelle Butler,Service,,,,
ARCSRV,Archiving Services,PRSRV,Image and EFD Archiving Services,Multiple,NCSA,Margaret Gelman,Michelle Butler,Service,,,Image and EFD Archiving,
ARCAT,Aux Tel Archiver,ARCSRV,Auxiliary Telescope Archiving Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,Spectrograph Archiving Service,,
ARCCOM,ComCam Archiver,ARCSRV,ComCam Archiving Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,,,
ARCLSST,LSSTCam Archiver,ARCSRV,LSSTCam Archiving Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,LSSTCam Archiving Service,,
EFDTSRV,EFD Transf Service,ARCSRV,EFD Transformation Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,EFD ETL Service,,
POINTSRV,Pointing Service,PRSRV,Pointing Prediction Publishing Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,,,
PRPRCSRV,Prompt Proc Svcs,PRSRV,Prompt Processing Services,Multiple,NCSA,Margaret Gelman,Michelle Butler,Service,,,"Prompt Processing Ingest/Prompt Processing",
PRPRCCOM,ComCam Prompt,PRPRCSRV,ComCam Prompt Processing Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,,,
PRPRCLSST,LSSTCam Prompt,PRPRCSRV,LSSTCam Prompt Processing Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,LSSTCam Prompt Processing Services,,
OCSBATSRV,OCS Batch Service,PRSRV,OCS-Driven Batch Processing Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,OCS-Driven Batch Service,"OCS-Driven Batch Control/OCS-Driven Batch Processing",
OODSSRV,Obs Ops Data Srvc,PRSRV,Observatory Operations Data Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,Observatory Operations Data Service,,
TMGSRV,Telem Gwy Service,PRSRV,Telemetry Gateway Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,,Telemetry Gateway,
PRODSRV,Batch Prodn Service,DMSRV,Batch Production Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,Batch Production Services,"Offline Processing/Template and Calibration Products Production Execution/Data Release Production Execution/Data Release Production Satellite Processing/Workload/Workflow",
DATASRV,Data Access Services,DMSRV,Data Access Services,,NCSA,Margaret Gelman,Michelle Butler,Service,,,,
DACSRV,LSP DAC Service,DATASRV,LSP DAC Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,User Data Access Services,LSP DAC Instances,
BULKDSRV,Bulk Distrib Service,DATASRV,Bulk Data Distribution Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,Bulk Data Distribution Service,Bulk Data Distribution,
ALRTDSTSRV,Alert Distrib Service,DATASRV,Alert Distribution Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,Hosting of Feeds to Brokers,"Alert Distribution/Alert Filtering",
INFRASRV,Infrastructure Srvcs,DMSRV,Infrastructure Services,,NCSA,Margaret Gelman,Michelle Butler,Service,,,,
DBBSRV,Data Backbone Srvc,INFRASRV,Data Backbone Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,Data Backbone Services,Data Backbone,
DBMSSRV,Managed DB Service,INFRASRV,Managed Database Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,Managed Database Services,HTCondor Batch Processing,
BATCHSRV,Batch Compute Srvc,INFRASRV,Batch Computing Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,Batch Computing and Data Staging Environment Services,Workload/Workflow,
KUBESRV,Container Service,INFRASRV,Containerized Application Management Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,Containerized Application Management Services,Provisioning/Deployment,
SECSRV,IT Security Service,INFRASRV,IT Security Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,Network-Based IT Security Services,,
IDMSRV,Identity Mgmt Srvc,INFRASRV,Identity Management Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,Authentication and Authorizations Services,Identity Management,
MGMTSRV,Management Srvcs,DMSRV,Management Services,,NCSA,Margaret Gelman,Michelle Butler,Service,,,,
ITCSRV,ITC Management,MGMTSRV,ITC Provisioning and Management,,NCSA,Margaret Gelman,Michelle Butler,Service,,ITC Provisioning and Management,Management,
SRVMGMT,Service Management,MGMTSRV,Service Management,,NCSA,Margaret Gelman,Michelle Butler,Service,,Service Management Processes,Management,
SRVMON,Service Monitoring,MGMTSRV,Service Monitoring,,NCSA,Margaret Gelman,Michelle Butler,Service,,Service Monitoring,Monitoring,
QCSRV,Quality Control Srvcs,DMSRV,Quality Control Services,,NCSA,Margaret Gelman,Michelle Butler,Service,,,,
PRQCSRV,Prompt QC Service,QCSRV,Prompt Quality Control Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,,Level 1 Quality Control,
DRQCSRV,DR QC Service,QCSRV,Data Release Quality Control Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,,Level 2 Quality Control,
ANSRV,Analysis Services,DMSRV,Analysis Services,,NCSA,Margaret Gelman,Michelle Butler,Service,,,,
CCSRV,LSP Comm Clust Srvc,ANSRV,LSP Commissioning Cluster Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,,LSP Commissioning Cluster Instance,
SCIVALSRV,LSP Sci Valid Service,ANSRV,LSP Science Validation Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,,LSP Science Validation Instance,
DEVSRV,Devel Services,DMSRV,Developer Services,,SQuaRE,Frossie Economou,,Service,,,Developer Services,
DVCSRV,SW Vers Ctrl Service,DEVSRV,Software version control service,,SQuaRE,Frossie Economou,,Service,git/GitHub,,,
CISRV,Build/CI Service,DEVSRV,Build + unit test + continuous integration service,1.02C.10.02.03.01,SQuaRE,Frossie Economou,,Service,Jenkins,,,
PKGSRV,Packaging/Distrib,DEVSRV,Packaging and distribution service,1.02C.10.02.03.02,SQuaRE,Frossie Economou,,Service,lsst/shebangtron/lsst_dm_stack_demo,,,
DOCSRV,Doc Pub Service,DEVSRV,Documentation publication service,1.02C.10.02.03.04,SQuaRE,Frossie Economou,,Service,LTD,,,
COMMSRV,Devel Comm Tools,DEVSRV,Developer communication services,1.02C.10.02.03.04,SQuaRE,Frossie Economou,,Service,Community/Slack,,,
